שם תמונה,שם באנגלית,קטגוריה,חתימת מים,מחיר דיגיטלי אישי,מחיר דיגיטלי מסחרי,מחיר 1015,מחיר 1521,מחיר 2030,מחיר 3040,שם מקור
השתקפות בחלון,Window Reflection,עולם הים,לא,60,500,90,100,140,250,IMG_6328.JPG
אור היין,Wine Light,עולם הטעם,לא,50,300,80,90,130,220,IMG_7014.JPG
נרות היין,Wine Candles,עולם הטעם,לא,50,300,80,90,130,220,IMG_7013.JPG
שבלול,Snail,2,לא,55,400,85,95,135,235,
סדק האור,Crack of Light,עולם הים,לא,55,400,85,95,135,235,IMG_5671.JPG
זקוף,Upright,עולם היבשה,לא,50,300,80,90,130,220,IMG_5267.JPG
טיפת שקיעה,Sunset Drop,1,לא,60,500,90,100,140,250,IMG_5217.JPG
זריחה,Sunrise,עולם הים,לא,55,400,85,95,135,235,MG_5188.JPG
השתקפות,Reflection,עולם הים,לא,60,500,90,100,140,250,IMG_0786.JPG
שביל הזהב,Golden Path,עולם הים,כן,55,400,85,95,135,235,IMG_4942.JPG
חץ וקשת,Bow and Arrow,עולם הים,כן,70,600,100,120,160,280,IMG_4955.JPG
סלסול,Curl,עולם הים,כן,65,550,95,130,150,265,IMG_8332.JPG
ענן מרווה,Sage Cloud,עולם החי,כן,55,400,85,95,135,235,IMG_6753.JPG
פגישה,Encounter,עולם הים,כן,55,400,85,95,135,235,IMG_4935.JPG
